data_X,data_c
"Gehen Sie bis jurong Punkt, verrückt.. Verfügbar nur in buggis n great world la e buffet... Cine there got amore wat...",not spam
Ok Lar... joking wif u oni...,not spam
"Freier Eintritt in 2 a wkly comp zum Gewinn FA Cup Final tkts 21. Mai 2005. Text FA bis 87121, um Eingangsfrage zu erhalten(std txt rate)T&C's gelten 08452810075over18's",spam
U dun sagen so früh... U c schon dann sagen...,not spam
"Nein, ich glaube nicht, dass er zu unsf geht, er lebt hier in der Nähe.",not spam
"FreeMsg Hey da Liebling es war 3 Wochen jetzt und kein Wort zurück! Ich möchte etwas Spaß Sie für es noch? Tb ok! XxX std chgs zu senden, £1,50 zu rcv",spam
Selbst mein Bruder ist nicht gern mit mir sprechen. Sie behandeln mich wie Hilfsmittel Patent.,not spam
"Gemäß Ihrer Anfrage 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune",not spam
"WINNER!! Als geschätzter Netzwerkkunde wurden Sie ausgewählt, um eine Preisbelohnung von £900 zu erhalten! Rufen Sie 09061701461 an. Anspruchscode KL341. Nur gültig 12 Stunden.",spam
"Hatte Ihr Handy 11 Monate oder länger? U R berechtigt, die neuesten Farbmobile mit Kamera kostenlos zu aktualisieren! Rufen Sie The Mobile Update Co GRATIS auf 08002986030",spam
"Ich bin bald zu Hause und will heute Abend nicht mehr darüber reden, K? Ich habe heute genug geweint.",not spam
"SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info",spam
URGENT! Sie haben eine 1 Woche kostenlose Mitgliedschaft in unserem $100.000 Prize Jackpot gewonnen! Txt das Wort: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,spam
"Ich habe nach den richtigen Worten gesucht, um Ihnen für diese Verschnaufpause zu danken. Ich verspreche Ihnen, dass ich Ihre Hilfe nicht für selbstverständlich nehmen und mein Versprechen erfüllen werde.",not spam
Ich habe ein Date am Sonntag mit Will!!,not spam
"XXXMobileMovieClub: Um Ihr Guthaben zu nutzen, klicken Sie auf den WAP-Link in der nächsten txt-Nachricht oder klicken Sie hier>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJGCBL",spam
Oh k...ich schaue hier:),not spam
"Eh u erinnern, wie 2 seinen Namen buchstabieren... Ja, ich habe. Er v freche machen, bis ich v nass.",not spam
"Gut, wenn das die Art und Weise u fühlen. Das ist die Art und Weise seine gota b",not spam
"England / Mazedonien - verpassen Sie nicht die Tore / Team Nachrichten. Txt ur Nationalmannschaft zu 87077 zB ENGLAND zu 87077 Versuchen:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam
Schreibst du so ernsthaft seinen Namen?,not spam
"Ich werde versuchen, für 2 Monate ha ha nur Scherze",not spam
"Also zahlen Sie zuerst Lar... dann, wenn da stock comin...",not spam
"Wenn ich mein Mittagessen fertig, dann gehe ich str down lor. Ard 3 smth lor. U beenden ur Mittagessen bereits?",not spam
Ffffffffff. Kann ich mich nicht früher mit dir treffen?,not spam
"Ich habe wirklich keinen Hunger. Das ist scheiße. Mark macht sich Sorgen. Er weiß, dass ich krank bin, wenn ich Pizza kippe. Lol",not spam
Lol Ihre immer so überzeugend.,not spam
Hast du den Bus erwischt? Frittest du ein Ei? Hast du einen Tee gemacht? Isst du deine Mutter über das Abendessen übrig? Fühlst du meine Liebe?,not spam
"Ich bin zurück &amp; Wir packen jetzt das Auto, ich sage Ihnen, wenn es Zimmer gibt",not spam
Ahhh. Arbeit. Ich erinnere mich vage daran! Wie fühlt es sich an? Lol,not spam
"Warten Sie, das ist immer noch nicht alles klar, waren Sie nicht sicher, dass ich sarkastisch oder das ist, warum x will nicht mit uns leben",not spam
"Ja, er kam mit 2 und war v entschuldigt. n war ausgefallen und sie war wie verwöhntes Kind handeln und er wurde darin gefangen. Bis 2! Aber wir werden nicht dorthin gehen! Nicht zu schlecht jubeln. Sie?",not spam
Erzählen Sie mir etwas über Sie.,not spam
"Aus Angst vor Ohnmacht mit der ganzen Hausarbeit, die Sie gerade getan haben? Schnell haben einen Cuppa",not spam
"Vielen Dank für Ihr Abonnement an Ringtone UK Ihr Handy wird berechnet £5/Monat Bitte bestätigen Sie, indem Sie JA oder NEIN. Wenn Sie antworten NEIN werden Sie nicht berechnet",spam
"Yup... Ok, ich gehe nach Hause schauen Sie sich die Timings dann i msg u wieder... Xuhui gehen, um am 2. Mai zu lernen, aber ihre Lektion ist um 8 Uhr",not spam
"Oops, ich sag dir Bescheid, wenn meine Mitbewohnerin fertig ist.",not spam
Ich sehe den Buchstaben B auf meinem Auto,not spam
Irgendetwas lor... U entscheiden...,not spam
"Hallo! Wie geht es dir und wie ist der Samstag gelaufen? Ich habe nur gesimst, um zu sehen, ob du dich entschieden hast, etwas Tomo zu tun. Nicht, dass ich versuche, mich einzuladen oder so!",not spam
Pls gehen Sie mit Watt. Ich wollte nur sicher sein. Haben Sie ein tolles Wochenende. Abiola,not spam
"Habe ich vergessen, dir zu sagen? Ich will dich, ich brauche dich, ich sehne mich nach dir... Aber vor allem... Ich liebe dich mein süßes arabisches Pferd... Mmmmmmm... Lecker",not spam
"07732584351 - Rodger Burns - MSG = Wir haben versucht, Sie anzurufen Ihre Antwort auf unsere sms für eine kostenlose nokia mobile + kostenlose Camcorder. Bitte rufen Sie jetzt 08000930705 für die Lieferung morgen",spam
Wen siehst du?,not spam
"Ich hoffe, Sie mögen Ihren Mann gut ausgestattet. Ich bin &lt;#&gt; Zoll...",not spam
Keine Anrufe..Nachrichten..fehlte Anrufe,not spam
Hast du keine Hep-b-Impfung in Nigeria bekommen?,not spam
Ist alles in Ordnung?,not spam
"Ja, hoffentlich, wenn Tyler es nicht schafft, könnte ich vielleicht ein bisschen fragen.",not spam
"Ich weiß nicht, wie stur ich bin. Ich wollte nicht einmal ins Krankenhaus gehen. Ich sagte Mark, dass ich kein schwacher Trottel bin. Krankenhäuser sind für schwache Trottel.",not spam
"Was du an mich gedacht hast, als du mich das erste Mal im Unterricht gesehen hast.",not spam
"Ein Gramm läuft normalerweise wie &lt;#&gt;, ein halbes Achtel ist aber klüger und bekommt fast ein ganzes zweites Gramm für &lt;#&gt;",not spam
"K fyi x hat morgen früh eine Fahrt, aber er stürzt heute Abend bei uns ab.",not spam
"Ich dachte, du magst es, da ich das Beste tat, was ich konnte, und du schienst immer so glücklich über die ""Höhle"". Es tut mir leid, dass ich es nicht getan habe und nicht mehr zu geben. Es tut mir leid, dass ich angeboten habe. Es tut mir leid, dass dein Zimmer so peinlich war.",not spam
SMS. ac Sptv: Die New Jersey Devils und die Detroit Red Wings spielen Eishockey. Richtig oder falsch? Ende? Antworten END SPTV,spam
"Weißt du, was Mallika Sherawat gestern gemacht hat? Finde es jetzt heraus @ &lt;URL&gt;",not spam
"Herzlichen Glückwunsch! 1 Jahr Spezial-Kino-Pass für 2 ist Ihr. rufen Sie 09061209465 jetzt! C Suprman V, Matrix3, StarWars3, etc alle 4 GRATIS! bx420-ip4-5we. 150pm. Nicht verpassen!",spam
"Tut mir leid, ich rufe später an.",not spam
"Sagen Sie, wo Sie angekommen sind.",not spam
Ja..gauti und Sehwag aus der Serie odi.,not spam
"Du musst einen Burger für dich auf dem Heimweg abholen, ich kann mich nicht mal bewegen, Schmerz bringt mich um.",not spam
Mädchen sind Situationssuchende.,not spam
Es ist ein Teil der Überprüfung IQ,not spam
"Tut mir leid, dass meine Mitbewohner für immer gebraucht haben, okay, wenn ich jetzt vorbeikomme?",not spam
"Ok lar i doppelt überprüfen wif da Haar Kommode bereits sagte er wun Schnitt v kurz. Er sagte, wird schneiden, bis ich schön aussehen.",not spam
"Als geschätzter Kunde, Ich freue mich, Sie zu beraten, dass nach der jüngsten Überprüfung Ihrer Mob Nr. Sie mit einem £ 1500 Bonus-Preis ausgezeichnet werden, rufen 09066364589",spam
"Heute ist ""Song gewidmet Tag.."" Welches Lied wird u widmen für mich? Senden Sie dies an alle ur wertvollen frnds aber zuerst rply mich...",not spam
"Dringend UR verlieh eine kostenlose Reise nach EuroDisinc Trav, Aco&Entry41 oder 1000 £. Anspruch auf DIS 87121 18+6 £1,50 (mehrFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
"Hast du von der neuen ""Divorce Barbie"" gehört?",spam
"Ich fliege, um dieses Monatsende zu geben.",not spam
Dann kann der glückliche Mann Geld sparen.,not spam
"Die Klasse ist beendet, wo du bist.",not spam
HI BABE IM ZUHAUSE JETZT WANNA etwas tun? XX,not spam
K.k:)wo bist du?Wie hast du dich aufgeführt?,not spam
Ich kann jetzt anrufen.,not spam
"Ruf mich an, sobald du frei bist.",not spam
Das ist cool. Ich bin ein Gentleman und werde Sie mit Würde und Respekt behandeln.,not spam
Ich mag euch Leute sehr:) aber bin sehr schüchtern pa.,not spam
Funktioniert nicht nach &lt;#&gt; oder was,not spam
Es ist nicht das gleiche hier. Immer noch auf der Suche nach einem Job. Wie viel verdienen Ta's dort.,not spam
"Tut mir leid, ich rufe später an.",not spam
K. Hast du mich gerade angerufen?,not spam
Okay ich bin auf dem Weg nach Hause hi hallo,not spam
Du wirst an der Stelle dieses Mannes sein.,not spam
"Ja, nächste Station.",not spam
"Ich rufe dich später an, habe kein Netzwerk.",not spam
Ich brauche nur noch 2 Tickets und noch eine Jacke und ich bin fertig. Ich habe schon alle meine Multis benutzt.,not spam
"Ja, ich begann, Anfragen zu senden, um es zu machen, aber Schmerz kam zurück, so bin ich wieder im Bett. Doppelte Münzen in der Fabrik auch. Ich muss in alle meine Nitros bar.",not spam
Ich bin wirklich nicht bis es noch heute Nacht Babe,not spam
"Ela kano., il download, come wen ur free..",not spam
"Ja, tu es! Steh nicht zu, um zu schließen, du wirst etwas fangen!",not spam
"Tut mir leid, ein Schmerz zu sein. Ist es okay, wenn wir uns noch eine Nacht treffen? Ich verbrachte am späten Nachmittag im Opfer und das bedeutet, ich habe nichts von y Zeug42moro getan und das beinhaltet alle meine Zeitblätter und das. Sorry.",not spam
"Smile in Pleasure Smile in Pain Smile, wenn Probleme strömen wie Rain Smile, wenn Summe1 verletzt U Smile becoz SOMEONE liebt es immer noch zu sehen u Lächeln!!",not spam
"Bitte rufen Sie unseren Kundendienstmitarbeiter unter 0800 169 6031 zwischen 10 und 21 Uhr an, da Sie einen garantierten $1000 Cash oder £5000 Preis haben!",spam
"Hab nicht geplant, später zu kaufen. Ich checke bereits Lido nur 530 Show in e Nachmittag. U fertig Arbeit bereits?",not spam
"Ihr kostenloser Klingelton wartet darauf, gesammelt zu werden. Schreiben Sie einfach das Passwort ""MIX"" auf 85069 zu überprüfen. Holen Sie sich Usher und Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam
Sehen telugu film..wat abt u?,not spam
"Wenn wir fertig sind, haben wir jede Menge Kredite zu bezahlen.",not spam
"Hallo. Wk war ok - auf Hols jetzt! Ja auf für ein bisschen von einem Lauf. Vergessen, dass ich Friseure Termin bei vier so müssen nach Hause zu bekommen n Dusche vorher. Verursacht das Problem für u?""",not spam
Ich sehe eine Tasse Kaffee Animation,not spam
Bitte sims mir nicht mehr. Ich habe nichts anderes zu sagen.,not spam
Okay Name ur Preis so lange wie seine legale! Wen kann ich sie abholen? Y u ave x ams xx,not spam
Ich bin immer noch auf der Suche nach einem Auto zu kaufen. Und noch nicht 4 die Fahrprüfung gegangen.,not spam
"Gemäß Ihrer Anfrage 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune",not spam
"Ich schätze, einmal gab ich auf Boston Männer und änderte meinen Suchort in Nyc, etwas geändert. Cuz auf meiner Signin-Seite sagt es immer noch Boston.",not spam
Umma mein Leben und vava umma liebe dich sehr,not spam
"Vielen Dank für Ihre Wünsche an meinem Geburtstag. Danke, dass Sie meinen Geburtstag wirklich unvergesslich.",not spam
"Ich schlage dich, wenn ich Geld bekomme.",not spam
"Wie würde meine IP-Adresse testen, dass unter Berücksichtigung meines Computers kein Minecraft-Server ist?",not spam
"Ich weiß! Grumpige alte Leute. Meine Mutter war wie du besser nicht lügen. Dann wieder bin ich immer derjenige, der Witze spielen...",not spam
"Keine Sorge, ich schätze, er ist beschäftigt.",not spam
Was ist der Plural der Substantiveforschung?,not spam
Ich gehe nachher zum Essen.,not spam
Ich bin ok wif es weil ich wie 2 versuchen neue Dinge. Aber ich habe Angst u dun wie Mah. Cos u sagte nicht zu laut.,not spam
"GENT! Wir versuchen, Sie zu kontaktieren. Letzte Wochenende ziehen zeigt, dass Sie einen $1000 Preis gewonnen GARANTEED. Rufen Sie 09064012160. Claim Code K52. Nur gültig 12 Stunden. 150ppm",spam
"Wa, ur openin Satz sehr formal... Wie auch immer, mir geht es auch gut, juz tt ich esse in zu viel n Puttin auf Gewicht...Haha... Also ist etwas Besonderes passiert?",not spam
"Als ich meine Kabine betrat, sagte mein PA, '' Happy B'day Boss!!''. Ich fühlte mich besonders. Sie fragte mich 4 Mittagessen. Nach dem Mittagessen lud sie mich in ihre Wohnung ein. Wir gingen dorthin.",not spam
Sie sind ein Gewinner U wurden speziell ausgewählt 2 erhalten £ 1000 oder 4 * Urlaub (Flüge inc) sprechen mit einem Live-Operator 2 Anspruch 0871277810910p/min (18+),spam
"Ja, wir müssen Freitag sprechen - Ei-Kartoffel-Verhältnis für Tortilla benötigt!",not spam
"Mein Onkel hat mir gerade mitgeteilt, dass er die Schule direkt bezahlt.",not spam
PRIVATE! Ihre 2004 Kontoauszug für 07742676969 zeigt 786 unerlöste Bonuspunkte. Rufen Sie 08719180248 Identifier Code: 45239 Läuft,spam
"URGENT! Ihre Handy-Nr. wurde mit £2000 Bonus Caller Prize am 5/9/03 Dies ist unser letzter Versuch, Kontakt U! Anruf von Landline 09064019788 BOX42WR29C, 150PPM",spam
hier ist meine neue Adresse -apples&pairs& all diese malarky,not spam
"Heute Voda Zahlen Ende 7548 sind ausgewählt, um eine $350 Auszeichnung zu erhalten. Wenn Sie eine Übereinstimmung haben, rufen Sie bitte 0871230220 zitieren Claim Code 4041 Standardraten App",spam
Ich werde heute sao mu. Ich werde erst um 12 Uhr fertig sein.,not spam
Ü Vorhersage wat time u'll Ende Kauf?,not spam
"Gutes Zeug, das wird reichen.",not spam
"Ich habe ihr nur einen Text geschickt, damit sie sich nicht beschweren kann, also musst du dich nicht in irgendetwas einmischen. Ich hätte dir überhaupt nichts auferlegen sollen, also entschuldige ich mich.",not spam
Bist du da im Zimmer?,not spam
"Hey Girl, wie geht's? Hope U R Well me an dell R BAK! ""Gib mir eine Anruf-Summe-Zeit von LUCYxx""",not spam
K.k:)Wie viel kostet das?,not spam
Ich bin zu Hause.,not spam
"Liebe, ruft Tmorrow.pls empfangen.",not spam
Beantworten Sie zuerst meine Frage.,not spam
"Sunshine Quiz Wkly Q! Gewinnen Sie einen Top-Sony-DVD-Player, wenn u wissen, in welchem Land die Algarve ist? Txt ansr zu 82277. £1.50 SP:Tyron",spam
Willst du 2 heute Nacht flachgelegt? Willst du echte Dogging-Standorte direkt 2 ur mob gesendet? Schließe dich dem größten Dogging Network Großbritanniens an Txting GRAVEL an 69888! nt. ec2a. 31p.msg@150p,spam
Ich bin nur haf msn. Es ist yijue@hotmail.com,not spam
"Er ist da, du rufst an und triffst ihn.",not spam
"Nein, nein. Ich prüfe alle Zimmer für Aktivitäten",not spam
Sie werden nicht mehr rcv msgs aus dem chat svc. For FREE Hardcore-Dienste text Gehen Sie zu: 69988 Wenn u nichts u muss Age Verify mit yr network & versuchen Sie es erneut,spam
"Ich habe einen Beutel gesehen, aber wie nicht v schön...",not spam
"K, sims mir, wenn du unterwegs bist",not spam
"Sir, warten Sie auf Ihre Post.",not spam
"Ein swt Gedanke: ""Nimmer müde von kleinen Dingen 4 liebenswerte Personen.."" Coz..somtimes diese kleinen Dinge nehmen d größten Teil in ihren Herzen.. Gud ni8",not spam
Kannst du den Rücken öffnen?,not spam
"Ja, ich sehe dich nicht auf dem Punkt",not spam
"Wie lautet der Personalname, der für uns den Unterricht übernimmt?",not spam
"FreeMsg Warum haben Sie nicht auf meinen Text geantwortet? Ich bin Randy, sexy, weiblich und live lokal. Luv zu hören von u. Netcollex Ltd 08700621170150p pro msg antwortet Stop to end",spam
"Ummma.rufen nach check in.our Leben wird von qatar beginnen, so pls beten sehr hart.",not spam
"K.i hat meinen Kontakt gelöscht, warum?",not spam
Sindu bekam Job in Birla soft..,not spam
Der Wein fließt und ich habe nie..,not spam
"Yup i thk cine ist besser, weil keine Notwendigkeit 2 gehen Sie 2 plaza mah.",not spam
"Okay, Ur typische Antwort...",not spam
"Gemäß Ihrer Anfrage 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune",not spam
"Du bist überall Dreck, auf dem Boden, die Fenster, sogar auf meinem Hemd. Und manchmal, wenn ich meinen Mund öffne, bist du alles, was ausfließt. Ich träume von meiner Welt ohne dich, dann sind auch die Hälfte meiner Aufgaben aus. Eine Zeit der Freude für mich, viele TV-Shows i.ll sehen. Aber ich denke, wie alle Dinge, die du einfach existieren musst, wie Regen, Hagel und Nebel, und wenn meine Zeit hier fertig ist, werden du und ich eins.",not spam
Aaooooright sind Sie bei der Arbeit?,not spam
Ich verlasse jetzt mein Haus...,not spam
"Hallo, meine Liebe. Was machst du? Hast du heute zu diesem Interview gekommen? Bist du glücklich? Bist du ein guter Junge? Denkst du an mich?Vermisst du mich?",not spam
"Kundenservice Annoncement. Sie haben eine Neujahrslieferung auf Sie warten. Rufen Sie bitte 07046744435 jetzt an, um die Lieferung zu arrangieren",spam
Sie sind ein Gewinner U wurden speziell ausgewählt 2 erhalten £ 1000 Bargeld oder ein 4 * Urlaub (Flüge inc) sprechen Sie mit einem Live-Operator 2 Claim 0871277810810,spam
"Bewahre dich für mich in Sicherheit, denn ich brauche dich und ich vermisse dich schon und ich beneide jeden, der dich im wirklichen Leben sieht",not spam
Neues Auto und Haus für meine Eltern.:)i haben nur neue Arbeit in der Hand:),not spam
"Ich bin so verliebt in dich. Ich bin jeden Tag aufgeregt, den ich mit dir verbringe.",not spam
"-PLS STOP bootydelious (32/F) lädt Sie ein, ihr Freund zu sein. Antworten Sie YES-434 oder NO-434 Sehen Sie sie: www.SMS.ac/u/bootydelious STOP? Senden STOP FRND an 62468",spam
"BangBabes Ur Bestellung ist auf dem Weg. U SHOULD erhalten einen Service Msg 2 Download UR Inhalt. Wenn U nicht, GoTo wap. bangb. tv auf UR mobile Internet / Service-Menü",spam
